cve_estado,estado,indice,vec,01_log_pib_per_capita,01_log_remesas_per_capita,02_agua_porc_verde,03_minority_rights - minority rights,04_porcentaje_diabetes_mayores20,04_porcentaje_obesidad_mayores20,04_porcentaje_hipertension_mayores20,04_porcentaje_personas_cobertura_salud,04_acceso_hosp_gral,05_gini,05_social_unrest,05_esperanza_vida,05_acceso_preparatorias,06_tasa_delictiva_final,06_confianza_policia_estatal,06__confianza_mp_fiscalias
24,San Luis Potosí,-0.1698104145603419,0.4950502320462716,11.688079731325619,9.312627591894898,0.4878048780487805,35.871841100000005,3.161157019999999,16.315041200000003,6.922749400000001,0.82627934,0.1328806,0.536,12.873198558999999,74.91,0.2906131,367.86412511000003,9.879778778354098,12.649913093858633
10,Durango,-0.301878979291639,0.507669198868263,11.52781407746398,9.344305825382692,0.35570469798657717,44.71338131,3.1076663699999987,11.35560659,5.858416290000001,0.748236706,0.1615464,0.581,9.412182641,75.13,0.2590997,386.56920946,11.575197131185272,13.82132354617366
3,Baja California Sur,-0.6824996008462805,0.5440369674204228,11.928934786954065,8.027687299443569,0.5,0,5.638167297999999,6.089190590000001,9.57124272,0.838098208,0.2149682,0.5680000000000001,7.794349774,75.85,0.4082053,390.70508964000004,8.480567330270828,12.919712822308805
21,Puebla,-0.9198557453107572,0.5667160153686379,11.295067918085255,8.738791813141066,0.08620689655172414,58.46443335000001,5.018039932999999,16.068123210000003,10.7170145,0.708056534,0.1876142,0.593,11.622085368,74.85,0.4384121,384.74883224,8.234749076181016,6.212111374113841
4,Campeche,-0.9352536794500403,0.5681872664602671,13.085070564656215,7.909254788305815,0.3,58.070796040000005,0,4.034497989999998,0,0.781008076,0.1851134,0.528,1.3985407799999994,74.78,0.2212341,391.83628172,9.744396184772413,14.26500152299726
7,Chiapas,-1.0708270938435684,0.5811411167701933,10.700701912755346,8.416669733199916,0.323943661971831,72.042434,6.217553924999999,19.98369396,9.87535037,0.672648213,0.1971036,0.513,11.942980853,74.3,0.280639,372.50198549000004,8.354436073316093,10.079426258288702
9,Ciudad de México,-2.269418661907539,0.6956648663187004,12.665902825283629,8.537082522992709,0.16666666666666666,21.28669121,1.3423808899999994,12.598509100000001,5.900679829999998,0.728251442,0.5216877,0.46799999999999997,5.637393821,76.6,0.6933926,398.385783127,4.4087562918866245,4.236833043870604
20,Oaxaca,-2.3235654933973717,0.7008385204087281,10.95499076321729,9.217626923463774,0.2692307692307692,49.16896605,3.4975079499999993,18.44080151,9.0179711,0.70572448,0.1808374,0.504,7.0268861,74.17,0.277123,370.83840429,13.357281946037977,11.726535834163428
13,Hidalgo,-2.328787242242113,0.7013374512145457,11.275822431886601,8.8926855625597,0.2857142857142857,37.14953328,1.174113349999999,17.769264330000002,8.160576299999999,0.698800554,0.1267544,0.577,6.906709601999999,75.11,0.2414898,388.22334828000004,8.34263751581711,11.218935518785928
30,Veracruz de Ignacio de la Llave,-2.3651319187705075,0.7048101342727809,11.366430405953848,8.387449009333702,0.24390243902439024,67.84928521,2.0880620699999994,9.959335449999998,2.470148339999998,0.723602088,0.1966868,0.5469999999999999,10.078789855,74.57,0.381484,380.27822865,8.998737631646705,9.006203685081763
8,Chihuahua,-2.5191211839844523,0.7195235933963139,11.860281118907626,8.922134512505261,0.15789473684210525,15.258494650000003,4.757859217,10.271106920000001,3.5059532599999983,0.84657186,0.2090553,0.5569999999999999,11.652875844,75.42,0.3273875,394.9674157,7.483120699848343,13.910302071950781
2,Baja California,-3.086871418266642,0.7737713349702554,11.933719154453085,8.880022686948253,0.2,4.096082320000008,4.033068650999999,0.5713133599999978,5.100442439999998,0.778107572,0.2556479,0.598,10.05443975,75.96,0.3838753,316.80723974,5.544070056324627,9.291852382304643
17,Morelos,-3.9341405494225232,0.8547267165715206,11.383374710511184,9.038522215559297,0,32.88194888,2.018105909999999,15.470477379999998,8.654822379999999,0.719926757,0.1773032,0.571,7.635449334,75.27,0.2892529,348.91592994,5.816489528667989,9.055456653101974
12,Guerrero,-5.454552981505808,1,11.00079899547119,9.395180821195282,0.043478260869565216,63.95220549,2.8767701699999986,14.230937019999999,8.202303919999999,0.748082363,0.1875963,0.518,0,73.32,0.3384026,361.35321413,8.889847119713423,9.114619295405376
